epoch,cat_acc,loss,val_cat_acc,val_loss,learning_rate
1,0.6639,0.7107,0.6096,0.734,0.001
2,0.7219,0.5818,0.7472,0.6209,0.001
3,0.7634,0.5292,0.8008,0.495,0.001
4,0.8004,0.4723,0.8344,0.4219,0.001
5,0.8273,0.4277,0.5362,1.1053,0.001
6,0.8447,0.3982,0.8464,0.396,0.001
7,0.8502,0.3805,0.7598,0.6149,0.001
8,0.8609,0.3624,0.651,1.0922,0.001
9,0.8765,0.3268,0.8706,0.3275,0.0002
10,0.8808,0.3171,0.8912,0.2967,0.0002
11,0.882,0.3105,0.8814,0.3064,0.0002
12,0.885,0.3081,0.8766,0.3343,0.0002
13,0.8895,0.2969,0.89,0.2973,4e-05
14,0.8889,0.2958,0.8884,0.2954,4e-05
